year,month,day,week,temp_2,temp_1,average,forecast_noaa,forecast_acc,forecast_under,actual
2016,3,8,Tues,60,53,52.5,48,56,51,54
2016,3,9,Wed,53,54,52.7,48,56,54,55
2016,3,10,Thurs,54,55,52.8,49,55,53,56
2016,3,11,Fri,55,56,53,53,53,51,55
2016,3,12,Sat,56,55,53.1,52,58,53,52
2016,3,13,Sun,55,52,53.3,50,55,53,54
2016,3,14,Mon,52,54,53.4,49,58,55,49
2016,3,15,Tues,54,49,53.6,49,58,52,51
2016,3,16,Wed,49,51,53.7,52,54,55,53
2016,3,17,Thurs,51,53,53.9,49,58,52,58
2016,3,18,Fri,53,58,54,51,57,54,63
2016,3,19,Sat,58,63,54.2,54,59,54,61
2016,3,20,Sun,63,61,54.3,51,56,55,55
2016,3,21,Mon,61,55,54.5,52,56,55,56
2016,3,22,Tues,55,56,54.6,51,55,54,57
2016,3,23,Wed,56,57,54.7,50,58,55,53
2016,3,24,Thurs,57,53,54.9,54,56,56,54
2016,3,25,Fri,53,54,55,53,57,57,57
2016,3,26,Sat,54,57,55.2,53,57,55,59
2016,3,27,Sun,57,59,55.3,52,58,55,51
2016,3,28,Mon,59,51,55.5,55,57,55,56
2016,3,29,Tues,51,56,55.6,53,59,54,64
2016,3,30,Wed,56,64,55.7,51,57,56,68
2016,3,31,Thurs,64,68,55.9,55,59,56,73
2016,4,1,Fri,68,73,56,54,59,55,71
2016,4,2,Sat,73,71,56.2,55,58,58,63
2016,4,3,Sun,71,63,56.3,54,61,56,69
2016,4,4,Mon,63,69,56.5,54,59,56,60
2016,4,5,Tues,69,60,56.6,52,58,56,57
2016,4,6,Wed,60,57,56.8,53,59,57,68
2016,4,7,Thurs,57,68,56.9,52,61,55,77
2016,4,8,Fri,68,77,57.1,57,61,57,76
2016,4,9,Sat,77,76,57.2,53,61,57,NA
2016,4,10,Sun,76,66,57.4,57,60,57,59
2016,4,11,Mon,66,59,57.6,56,60,58,58
2016,4,12,Tues,59,58,57.7,54,59,57,60
2016,4,13,Wed,58,60,57.9,55,62,56,59
2016,4,14,Thurs,60,59,58.1,57,63,58,59
2016,4,15,Fri,59,59,58.3,58,61,60,60
2016,4,16,Sat,59,60,58.5,56,60,59,68
2016,4,17,Sun,60,68,58.6,58,62,59,77
2016,4,18,Mon,68,77,58.8,55,59,57,89
2016,4,19,Tues,77,89,59,59,63,59,81
2016,4,20,Wed,89,81,59.2,56,63,61,81
2016,4,21,Thurs,81,81,59.4,55,61,59,73
2016,4,22,Fri,81,73,59.7,59,64,60,64
2016,4,23,Sat,73,64,59.9,56,63,59,65
2016,4,24,Sun,64,65,60.1,57,61,60,55
2016,4,25,Mon,65,55,60.3,56,64,61,59
2016,4,26,Tues,55,59,60.5,56,61,62,60
2016,4,27,Wed,59,60,60.7,59,65,60,61
2016,4,28,Thurs,60,61,61,56,65,62,64
2016,4,29,Fri,61,64,61.2,61,65,61,61
2016,4,30,Sat,64,61,61.4,60,65,62,68
2016,5,1,Sun,61,68,61.6,60,65,60,77
2016,5,2,Mon,68,77,61.9,60,66,61,87
2016,5,3,Tues,77,87,62.1,62,66,64,74
2016,5,4,Wed,87,74,62.3,59,65,64,60
2016,5,5,Thurs,74,60,62.5,58,66,62,68
2016,5,6,Fri,60,68,62.8,61,64,61,77
2016,5,7,Sat,68,77,63,61,65,63,82
2016,5,8,Sun,77,82,63.2,62,65,63,63
2016,5,9,Mon,82,63,63.4,59,66,62,67
2016,5,10,Tues,63,67,63.6,61,66,64,75
2016,5,11,Wed,67,75,63.8,62,68,63,81
2016,5,12,Thurs,75,81,64.1,62,67,63,77
2016,5,13,Fri,81,77,64.3,63,67,66,82
2016,5,14,Sat,77,82,64.5,64,66,66,65
2016,5,15,Sun,82,65,64.7,63,69,64,57
2016,5,16,Mon,65,57,64.8,61,65,65,60
2016,5,17,Tues,57,60,65,62,65,65,71
2016,5,18,Wed,60,71,65.2,61,68,65,64
2016,5,19,Thurs,71,64,65.4,62,68,67,63
2016,5,20,Fri,64,63,65.6,63,70,64,66
2016,5,21,Sat,63,66,65.7,62,67,65,59
2016,5,22,Sun,66,59,65.9,62,66,65,66
2016,5,23,Mon,59,66,66.1,63,68,68,65
2016,5,24,Tues,66,65,66.2,66,71,66,66
2016,5,25,Wed,65,66,66.4,65,67,66,66
2016,5,26,Thurs,66,66,66.5,64,70,65,65
2016,5,27,Fri,66,65,66.7,64,67,68,64
2016,5,28,Sat,65,64,66.8,64,69,65,64
2016,5,29,Sun,64,64,67,65,71,65,64
2016,5,30,Mon,64,64,67.1,64,70,66,71
2016,5,31,Tues,64,71,67.3,63,72,68,79
2016,6,1,Wed,71,79,67.4,65,69,66,75
2016,6,2,Thurs,79,75,67.6,64,71,67,71
2016,6,3,Fri,75,71,67.7,64,71,66,80
2016,6,4,Sat,71,80,67.9,63,72,66,81
2016,6,5,Sun,80,81,68,64,70,66,92
2016,6,6,Mon,81,92,68.2,65,70,67,86
2016,6,7,Tues,92,86,68.3,67,69,70,85
2016,6,8,Wed,86,85,68.5,67,70,69,67
2016,6,9,Thurs,85,67,68.6,66,73,69,65
2016,6,10,Fri,67,65,68.8,67,71,67,67
2016,6,11,Sat,65,67,69,69,72,71,65
2016,6,12,Sun,67,65,69.1,65,73,70,70
2016,6,13,Mon,65,70,69.3,66,72,69,66
2016,6,14,Tues,70,66,69.5,66,71,69,60
2016,6,15,Wed,66,60,69.7,65,73,71,67
2016,6,16,Thurs,60,67,69.8,68,72,71,71
2016,6,17,Fri,67,71,70,66,74,69,67
2016,6,18,Sat,71,67,70.2,67,75,69,65
2016,6,19,Sun,67,65,70.4,69,73,70,70
2016,6,20,Mon,65,70,70.6,67,71,70,76
2016,6,21,Tues,70,76,70.8,68,75,71,73
2016,6,22,Wed,76,73,71,66,71,72,75
2016,6,23,Thurs,73,75,71.3,68,72,71,68
2016,6,24,Fri,75,68,71.5,67,73,73,69
2016,6,25,Sat,68,69,71.7,68,73,73,71
2016,6,26,Sun,69,71,71.9,67,74,72,78
2016,6,27,Mon,71,78,72.2,70,74,72,85
2016,6,28,Tues,78,85,72.4,72,76,74,79
2016,6,29,Wed,85,79,72.6,68,76,74,74
2016,6,30,Thurs,79,74,72.8,71,76,72,73
2016,7,1,Fri,74,73,73.1,71,75,72,76
2016,7,2,Sat,73,76,73.3,70,77,73,76
2016,7,3,Sun,76,76,73.5,69,76,75,71
2016,7,4,Mon,76,71,73.8,71,76,73,68
2016,7,5,Tues,71,68,74,72,77,74,69
2016,7,6,Wed,68,69,74.2,72,76,75,76
2016,7,7,Thurs,69,76,74.4,73,77,74,68
2016,7,8,Fri,76,68,74.6,72,79,75,74
2016,7,9,Sat,68,74,74.9,70,79,76,71
2016,7,10,Sun,74,71,75.1,71,77,76,74
2016,7,11,Mon,71,74,75.3,74,79,75,74
2016,7,12,Tues,74,74,75.4,74,77,77,77
2016,7,13,Wed,74,77,75.6,74,78,76,75
2016,7,14,Thurs,77,75,75.8,74,76,77,77
2016,7,15,Fri,75,77,76,74,80,78,76
2016,7,16,Sat,77,76,76.1,76,78,75,72
2016,7,17,Sun,76,72,76.3,76,78,77,80
2016,7,18,Mon,72,80,76.4,75,77,75,73
2016,7,19,Tues,80,73,76.6,76,78,77,78
2016,7,20,Wed,73,78,76.7,75,78,77,82
2016,7,21,Thurs,78,82,76.8,73,81,78,81
2016,7,22,Fri,82,81,76.9,72,77,76,71
2016,7,23,Sat,81,71,77,75,81,76,75
2016,7,24,Sun,71,75,77.1,76,78,78,80
2016,7,25,Mon,75,80,77.1,75,82,76,85
2016,7,26,Tues,80,85,77.2,73,79,76,79
2016,7,27,Wed,85,79,77.3,73,78,79,83
2016,7,28,Thurs,79,83,77.3,76,80,78,85
2016,7,29,Fri,83,85,77.3,77,80,79,88
2016,7,30,Sat,85,88,77.3,75,79,77,76
2016,7,31,Sun,88,76,77.4,76,78,79,73
2016,8,1,Mon,76,73,77.4,76,78,79,77
2016,8,2,Tues,73,77,77.4,75,80,79,73
2016,8,3,Wed,77,73,77.3,77,81,77,75
2016,8,4,Thurs,73,75,77.3,73,79,78,80
2016,8,5,Fri,75,80,77.3,75,81,78,79
2016,8,6,Sat,80,79,77.2,76,81,79,72
2016,8,7,Sun,79,72,77.2,74,78,77,72
2016,8,8,Mon,72,72,77.1,76,78,77,73
2016,8,9,Tues,72,73,77.1,77,80,79,72
2016,8,10,Wed,73,72,77,77,78,77,76
2016,8,11,Thurs,72,76,76.9,74,81,75,80
2016,8,12,Fri,76,80,76.9,72,79,77,87
2016,8,13,Sat,80,87,76.8,73,79,78,90
2016,8,14,Sun,87,90,76.7,75,78,78,83
2016,8,15,Mon,90,83,76.6,76,79,75,84
2016,8,16,Tues,83,84,76.5,72,78,78,81
2016,8,23,Tues,84,81,75.7,73,78,77,79
2016,8,28,Sun,81,79,75,71,77,76,75
2016,8,30,Tues,79,75,74.6,74,76,75,70
2016,9,3,Sat,75,70,73.9,71,75,73,67
2016,9,4,Sun,70,67,73.7,72,77,75,68
2016,9,5,Mon,67,68,73.5,71,75,73,68
2016,9,6,Tues,68,68,73.3,73,76,75,68
2016,9,7,Wed,68,68,73,72,78,71,67
2016,9,8,Thurs,68,67,72.8,69,77,73,72
2016,9,9,Fri,67,72,72.6,68,77,71,74
2016,9,10,Sat,72,74,72.3,70,77,74,77
2016,9,11,Sun,74,77,72.1,69,75,71,70
2016,9,12,Mon,77,70,71.8,67,73,73,74
2016,9,13,Tues,70,74,71.5,71,75,70,75
2016,9,14,Wed,74,75,71.2,67,75,73,79
2016,9,15,Thurs,75,79,71,66,76,69,71
2016,9,16,Fri,79,71,70.7,70,74,71,75
2016,9,17,Sat,71,75,70.3,66,73,70,68
2016,9,18,Sun,75,68,70,66,73,71,69
2016,9,19,Mon,68,69,69.7,65,74,71,71
2016,9,20,Tues,69,71,69.4,67,73,69,67
2016,9,21,Wed,71,67,69,65,70,70,68
2016,9,22,Thurs,67,68,68.7,65,70,69,67
2016,9,23,Fri,68,67,68.3,67,69,67,64
2016,9,24,Sat,67,64,68,65,71,66,67
2016,9,25,Sun,64,67,67.6,64,72,67,76
2016,9,26,Mon,67,76,67.2,64,69,69,77
2016,9,27,Tues,76,77,66.8,66,67,68,69
2016,9,28,Wed,77,69,66.5,66,68,66,68
2016,9,29,Thurs,69,68,66.1,63,71,68,66
2016,9,30,Fri,68,66,65.7,64,67,65,67
2016,10,1,Sat,66,67,65.3,64,70,64,63
2016,10,2,Sun,67,63,64.9,62,69,66,65
2016,10,3,Mon,63,65,64.5,63,68,65,61
2016,10,4,Tues,65,61,64.1,62,69,65,63
2016,10,5,Wed,61,63,63.7,61,66,65,66
2016,10,6,Thurs,63,66,63.3,62,67,63,63
2016,10,7,Fri,66,63,62.9,62,67,64,64
2016,10,8,Sat,63,64,62.5,60,65,61,68
2016,10,9,Sun,64,68,62.1,58,65,63,57
2016,10,10,Mon,68,57,61.8,58,64,61,60
2016,10,11,Tues,57,60,61.4,58,66,61,62
2016,10,12,Wed,60,62,61,60,63,63,66
2016,10,13,Thurs,62,66,60.6,60,62,60,60
2016,10,14,Fri,66,60,60.2,56,64,60,60
2016,10,15,Sat,60,60,59.9,59,62,59,62
2016,10,16,Sun,60,62,59.5,57,60,59,60
2016,10,17,Mon,62,60,59.1,57,63,59,60
2016,10,18,Tues,60,60,58.8,54,60,57,61
2016,10,19,Wed,60,61,58.4,58,60,57,58
2016,10,20,Thurs,61,58,58.1,58,59,58,62
2016,10,21,Fri,58,62,57.8,56,60,59,59
2016,10,22,Sat,62,59,57.4,56,59,58,62
2016,10,23,Sun,59,62,57.1,57,58,59,62
2016,10,24,Mon,62,62,56.8,52,61,57,61
2016,10,25,Tues,62,61,56.5,53,60,55,65
2016,10,26,Wed,61,65,56.2,53,57,57,58
2016,10,27,Thurs,65,58,55.9,51,60,55,60
2016,10,28,Fri,58,60,55.6,52,56,55,65
2016,10,29,Sat,60,65,55.3,55,59,55,68
2016,10,31,Mon,65,117,54.8,51,59,56,59
2016,11,1,Tues,117,59,54.5,51,59,55,57
2016,11,2,Wed,59,57,54.2,54,58,55,57
2016,11,3,Thurs,57,57,53.9,53,54,54,65
2016,11,4,Fri,57,65,53.7,49,55,54,65
2016,11,5,Sat,65,65,53.4,49,58,52,58
2016,11,6,Sun,65,58,53.2,52,57,55,61
2016,11,7,Mon,58,61,52.9,51,56,51,63
2016,11,8,Tues,61,63,52.7,49,57,52,71
2016,11,9,Wed,63,71,52.4,48,56,52,65
2016,11,10,Thurs,71,65,52.2,52,54,51,64
2016,11,11,Fri,65,64,51.9,50,53,52,63
2016,11,12,Sat,64,63,51.7,50,52,52,59
2016,11,13,Sun,63,59,51.4,48,56,50,55
2016,11,14,Mon,59,55,51.2,49,53,53,57
2016,11,15,Tues,55,57,51,47,54,51,55
2016,11,16,Wed,57,55,50.7,50,51,49,50
2016,11,17,Thurs,55,50,50.5,46,51,50,52
2016,11,18,Fri,50,52,50.3,50,53,50,55
2016,11,19,Sat,52,55,50,50,54,49,57
2016,11,20,Sun,55,57,49.8,47,54,48,55
2016,11,21,Mon,57,55,49.5,46,51,49,54
2016,11,22,Tues,55,54,49.3,46,54,49,54
2016,11,23,Wed,54,54,49.1,48,52,49,49
2016,11,24,Thurs,54,49,48.9,47,53,48,52
2016,11,25,Fri,49,52,48.6,45,52,47,52
2016,11,26,Sat,52,52,48.4,48,50,47,53
2016,11,27,Sun,52,53,48.2,48,49,49,48
2016,11,28,Mon,53,48,48,46,48,49,52
2016,11,29,Tues,48,52,47.8,43,48,47,52
2016,11,30,Wed,52,52,47.6,47,52,49,52
2016,12,1,Thurs,52,52,47.4,44,48,49,46
2016,12,2,Fri,52,46,47.2,46,51,49,50
2016,12,3,Sat,46,50,47,42,52,47,49
2016,12,4,Sun,50,49,46.8,45,47,47,46
2016,12,5,Mon,49,46,46.6,43,50,45,40
2016,12,6,Tues,46,40,46.4,44,50,45,42
2016,12,7,Wed,40,42,46.3,44,51,46,40
2016,12,8,Thurs,42,40,46.1,45,51,47,41
2016,12,9,Fri,40,41,46,43,51,44,36
2016,12,10,Sat,41,36,45.9,44,48,44,44
2016,12,11,Sun,36,44,45.7,41,46,47,44
2016,12,12,Mon,44,44,45.6,43,50,45,43
2016,12,13,Tues,44,43,45.5,41,47,46,40
2016,12,14,Wed,43,40,45.4,45,48,45,39
2016,12,15,Thurs,40,39,45.3,45,49,47,39
2016,12,16,Fri,39,39,45.3,44,49,44,35
2016,12,17,Sat,39,35,45.2,43,47,46,35
2016,12,18,Sun,35,35,45.2,44,46,46,39
2016,12,19,Mon,35,39,45.1,42,46,45,46
2016,12,20,Tues,39,46,45.1,45,49,45,51
2016,12,21,Wed,46,51,45.1,44,50,46,49
2016,12,22,Thurs,51,49,45.1,42,47,46,45
2016,12,23,Fri,49,45,45.1,45,49,44,40
2016,12,24,Sat,45,40,45.1,44,47,46,41
2016,12,25,Sun,40,41,45.1,42,49,44,42
2016,12,26,Mon,41,42,45.2,45,48,46,42
2016,12,27,Tues,42,42,45.2,41,50,47,47
2016,12,28,Wed,42,47,45.3,41,49,44,48
2016,12,29,Thurs,47,48,45.3,43,50,45,48
2016,12,30,Fri,48,48,45.4,44,46,44,57
2016,12,31,Sat,48,57,45.5,42,48,47,40
